Prüfungsbogen;Position im Bogen;Fragenkatalog-Nr.;Kategorie;Frage;Zusatztext;Antwort A;Antwort B;Antwort C;Antwort D;Richtige Antwort;Richtige Antwort (Text);Bilddateien im ZIP;Bild-URLs;Tags;Quelle
10;4;39;Sicherheit;Woran kann man erkennen, ob der Anker hält?;;Wenn beim Handauflegen auf die Ankerkette oder -leine kein Rucken zu verspüren ist und sich die Ankerpeilung ändert.;Wenn Ankerkette oder -leine nicht vibrieren und sich der anliegende Magnetkompasskurs nicht verändert.;Wenn beim Handauflegen auf die Ankerkette oder -leine kein Rucken zu verspüren ist und das Fahrzeug nicht schwojt.;Wenn beim Handauflegen auf die Ankerkette oder -leine kein Rucken zu verspüren ist und sich die Ankerpeilung nicht ändert.;D;Wenn beim Handauflegen auf die Ankerkette oder -leine kein Rucken zu verspüren ist und sich die Ankerpeilung nicht ändert.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
10;5;51;Grundlagen;Weshalb setzt bei einem Fahrzeug mit Einbaumaschine und starrer Welle bei Aufnahme der Rückwärtsfahrt die Ruderwirkung erst relativ spät ein?;;Weil sie erst mit Anströmung des Ruderblattes einsetzt.;Durch den Abstand von Propeller und Ruderblatt.;Weil sich durch den Radeffekt ein Unterdruck am Propeller entwickelt.;Weil sich durch den Radeffekt ein Unterdruck am Ruder entwickelt.;A;Weil sie erst mit Anströmung des Ruderblattes einsetzt.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
10;6;67;Sicherheit;Wie oft muss man aufblasbare Rettungsmittel warten lassen?;;Jährlich und nach jedem Einsatz oder Übungsgebrauch.;Jährlich, jeweils vor Beginn der Wassersportsaison.;Entsprechend der Herstellerangabe, mindestens alle 2 Jahre.;Entsprechend der Herstellerangabe, mindestens alle 3 Jahre.;C;Entsprechend der Herstellerangabe, mindestens alle 2 Jahre.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
10;7;71;Wetter;Welche Faktoren sind hauptsächlich für das Wettergeschehen, also für Wind und Niederschläge, ausschlaggebend?;;Luftdruckänderung, Luftfeuchtigkeit und Temperatur.;Luftdruckänderung, Luftfeuchtigkeit und Jahreszeit.;Luftdruckänderung, Sonneneinstrahlung und Höhenlage.;Luftdruckänderung, Tageszeit und Temperatur.;A;Luftdruckänderung, Luftfeuchtigkeit und Temperatur.;;;"Basisfragen;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
10;8;82;Vorschriften & Gesetze;Wann ist ein Fahrzeug manövrierunfähig?;;Wenn es wegen seines Tiefgangs im Verhältnis zu der vorhandenen Tiefe und Breite des befahrbaren Gewässers erheblich behindert ist, von seinem zu verfolgenden Kurs abzuweichen.;Wenn es wegen der Art seines Einsatzes behindert ist und deshalb nicht so wie vorgeschrieben manövrieren und daher einem anderen Fahrzeug nicht ausweichen kann.;Wenn es mit Netzen, Leinen, Schleppnetzen oder anderen Fanggeräten fischt, welche die Manövrierfähigkeit einschränken.;Wenn es wegen außergewöhnlicher Umstände, z. B. Ausfall der Ruder- oder Maschinenanlage, nicht so wie vorgeschrieben manövrieren und daher einem anderen Fahrzeug nicht ausweichen kann.;D;Wenn es wegen außergewöhnlicher Umstände, z. B. Ausfall der Ruder- oder Maschinenanlage, nicht so wie vorgeschrieben manövrieren und daher einem anderen Fahrzeug nicht ausweichen kann.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
10;9;88;Verkehrsvorschriften;Wie sind Verkehrstrennungsgebiete zu befahren?;;Sie dürfen nur vom Anfang bis zum Ende und jeweils nur in Fahrtrichtung rechts der Trennzone befahren werden.;Sie dürfen jeweils nur in der allgemeinen Verkehrsrichtung rechts der Trennlinie oder Trennzone befahren werden.;Sie dürfen innerhalb der äußeren Trennlinien nur in einer Fahrtrichtung befahren werden.;Sie dürfen jeweils nur in Fahrtrichtung links der Trennlinie oder Trennzone befahren werden.;B;Sie dürfen jeweils nur in der allgemeinen Verkehrsrichtung rechts der Trennlinie oder Trennzone befahren werden.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
10;10;97;Lichterführung & Signalkörper;Welches Fahrzeug führt diese Lichter?;;Ein manövrierunfähiges Fahrzeug in Fahrt.;Ein tiefgangbehindertes Fahrzeug in Fahrt.;Ein Grundsitzer von 50 und mehr Meter Länge.;Ein manövrierbehindertes Fahrzeug in Fahrt.;A;Ein manövrierunfähiges Fahrzeug in Fahrt.;bilder/spezifische_fragen_see_Lichter-Frage-97-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Lichter-Frage-97-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
10;11;109;Lichterführung & Signalkörper;Welches Fahrzeug führt diese Signalkörper?;;Ein Grundsitzer von weniger als 50 Meter Länge.;Ein manövrierunfähiges Fahrzeug in Fahrt.;Ein tiefgangbehindertes Fahrzeug in Fahrt.;Ein manövrierbehindertes Fahrzeug in Fahrt.;C;Ein tiefgangbehindertes Fahrzeug in Fahrt.;bilder/spezifische_fragen_see_Signalkoerper-Frage-109-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Signalkoerper-Frage-109-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
10;12;118;Signale;Welche Fahrzeuge geben bei verminderter Sicht mindestens alle zwei Minuten drei aufeinander folgende Töne mit der Pfeife, und zwar lang, kurz, kurz?;;Ein manövrierunfähiges Fahrzeug in Fahrt, ein manövrierbehindertes Fahrzeug in Fahrt oder vor Anker, ein tiefgangbehindertes Fahrzeug in Fahrt, ein Segelfahrzeug in Fahrt, ein schleppendes oder schiebendes Fahrzeug in Fahrt, ein geschlepptes Fahrzeug oder das letzte bemannte Fahrzeug eines Schleppverbandes in Fahrt, ein fischendes Fahrzeug in Fahrt oder vor Anker.;Ein manövrierunfähiges Fahrzeug in Fahrt, ein manövrierbehindertes Fahrzeug in Fahrt oder vor Anker, ein tiefgangbehindertes Fahrzeug in Fahrt, ein Segelfahrzeug in Fahrt, ein schleppendes oder schiebendes Fahrzeug in Fahrt, ein fischendes Fahrzeug in Fahrt oder vor Anker, ein Maschinenfahrzeug in Fahrt, das seine Maschine gestoppt hat und keine Fahrt durchs Wasser macht.;Ein manövrierunfähiges Fahrzeug in Fahrt, ein manövrierbehindertes Fahrzeug in Fahrt oder vor Anker, ein tiefgangbehindertes Fahrzeug in Fahrt, ein Maschinenfahrzeug in Fahrt, das Fahrt durchs Wasser macht, ein schleppendes oder schiebendes Fahrzeug in Fahrt, ein fischendes Fahrzeug in Fahrt oder vor Anker.;Ein manövrierunfähiges Fahrzeug in Fahrt, ein manövrierbehindertes Fahrzeug in Fahrt oder vor Anker, ein tiefgangbehindertes Fahrzeug in Fahrt, ein Segelfahrzeug in Fahrt, ein schleppendes oder schiebendes Fahrzeug in Fahrt, ein fischendes Fahrzeug in Fahrt oder vor Anker.;D;Ein manövrierunfähiges Fahrzeug in Fahrt, ein manövrierbehindertes Fahrzeug in Fahrt oder vor Anker, ein tiefgangbehindertes Fahrzeug in Fahrt, ein Segelfahrzeug in Fahrt, ein schleppendes oder schiebendes Fahrzeug in Fahrt, ein fischendes Fahrzeug in Fahrt oder vor Anker.;bilder/spezifische_fragen_see_Schallsignal-Frage-118-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Schallsignal-Frage-118-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
10;13;123;Signale;Welches Fahrzeug gibt bei verminderter Sicht mindestens jede Minute etwa 5 Sekunden lang rasches Läuten der Glocke und unmittelbar danach ungefähr 5 Sekunden lang rasch den Gong schlagen?;;Ein Fahrzeug vor Anker von 100 und mehr Meter Länge.;Ein geschlepptes Fahrzeug oder das letzte bemannte Fahrzeug eines Schleppverbandes in Fahrt.;Ein Maschinenfahrzeug in Fahrt, das seine Maschine gestoppt hat und keine Fahrt durchs Wasser macht.;Ein Fahrzeug vor Anker von weniger als 100 m Länge.;A;Ein Fahrzeug vor Anker von 100 und mehr Meter Länge.;"bilder/spezifische_fragen_see_Schallsignal-Frage-122-gif.png;bilder/spezifische_fragen_see_Schallsignal-Frage-123-gif.png";"https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Schallsignal-Frage-122-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Schallsignal-Frage-123-gif.png";"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
10;14;130;Verkehrsvorschriften;Wie hat sich ein Maschinenfahrzeug im freien Seeraum oder außerhalb des Fahrwassers gegenüber einem in Sicht befindlichen manövrierbehinderten Fahrzeug zu verhalten, wenn die Möglichkeit der Gefahr eines Zusammenstoßes besteht?;;Das Maschinenfahrzeug muss seine Fahrt verringern.;Das Maschinenfahrzeug muss seinen Kurs nach Steuerbord ändern.;Das Maschinenfahrzeug muss ausweichen.;Das Maschinenfahrzeug muss Kurs und Geschwindigkeit beibehalten.;C;Das Maschinenfahrzeug muss ausweichen.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
10;15;132;Verkehrsvorschriften;Wie hat sich ein Segelfahrzeug im freien Seeraum oder außerhalb des Fahrwassers gegenüber einem in Sicht befindlichen fischenden Fahrzeug zu verhalten, wenn die Möglichkeit der Gefahr eines Zusammenstoßes besteht?;;Das Segelfahrzeug muss ausweichen.;Das Segelfahrzeug muss Kurs und Geschwindigkeit zunächst beibehalten.;Das Segelfahrzeug muss seinen Kurs nach Steuerbord ändern.;Das Segelfahrzeug darf die sichere Durchfahrt nicht behindern.;A;Das Segelfahrzeug muss ausweichen.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
10;16;149;Lichterführung & Signalkörper;Was ist das für ein Fahrzeug und was ist zu beachten?;;Ein manövrierbehindertes Fahrzeug mit Fahrt durchs Wasser, das baggert oder Unterwasserarbeiten ausführt und dabei die Schifffahrt nicht behindert. Es ist an der Seite zu passieren, die in Fahrtrichtung rechts liegt.;Ein manövrierunfähiges Fahrzeug mit Fahrt durchs Wasser, das baggert oder Unterwasserarbeiten ausführt und dabei die Schifffahrt behindert. Es ist an der Seite zu passieren, die in Fahrtrichtung rechts liegt.;Ein manövrierbehindertes Fahrzeug mit Fahrt durchs Wasser, das baggert oder Unterwasserarbeiten ausführt und dabei die Schifffahrt behindert. Es darf an beiden Seiten passiert werden.;Ein manövrierbehindertes Fahrzeug mit Fahrt durchs Wasser, das baggert oder Unterwasserarbeiten ausführt und dabei die Schifffahrt behindert. Es ist an der Seite zu passieren, die in Fahrtrichtung links liegt.;A;Ein manövrierbehindertes Fahrzeug mit Fahrt durchs Wasser, das baggert oder Unterwasserarbeiten ausführt und dabei die Schifffahrt nicht behindert. Es ist an der Seite zu passieren, die in Fahrtrichtung rechts liegt.;bilder/spezifische_fragen_see_Fahrzeug-Frage-149-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Fahrzeug-Frage-149-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
10;17;156;Vorschriften & Gesetze;Was sind Fahrwasser im Sinne der Seeschifffahrtsstraßen-Ordnung (SeeSchStrO) und der Schifffahrtsordnung Emsmündung (EmsSchO)?;;Es sind Wasserflächen, die durchgehend durch Fahrwasserseitenbezeichnung begrenzt oder gekennzeichnet sind und auf denen die Sportbootführerscheinverordnung Gültigkeit hat.;Es sind Wasserflächen, die durchgehend durch Fahrwasserseitenbezeichnung begrenzt oder gekennzeichnet sind und auf denen das Wasserskifahren sowie das Fahren mit Wassermotorrädern erlaubt ist, sofern die durchgehende Schifffahrt nicht behindert wird.;Es sind Wasserflächen, die durchgehend durch Fahrwasserseitenbezeichnung begrenzt oder gekennzeichnet sind, binnenwärts der Flussmündungen auch nicht gekennzeichnete Wasserflächen, die für die durchgehende Schifffahrt bestimmt sind.;"Es sind Wasserflächen, die für Seeschiffe zugelassen sind; binnenwärts der Flussmündungen sind auch Binnenschiffe und Sportboote zugelassen.";C;Es sind Wasserflächen, die durchgehend durch Fahrwasserseitenbezeichnung begrenzt oder gekennzeichnet sind, binnenwärts der Flussmündungen auch nicht gekennzeichnete Wasserflächen, die für die durchgehende Schifffahrt bestimmt sind.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
10;18;161;Signale;Welches Schallsignal ist beim Einlaufen in Fahrwasser und Häfen zu geben, wenn die Verkehrslage es erfordert?;;Ein langer und ein kurzer Ton.;Ein kurzer Ton.;Ein kurzer und ein langer Ton.;Ein langer Ton.;D;Ein langer Ton.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
10;19;166;Verkehrsvorschriften;Wie haben Segelfahrzeuge im Fahrwasser, die nicht deutlich der Richtung eines Fahrwassers folgen, untereinander auszuweichen?;;Sie haben untereinander nach den Regeln der Binnenschifffahrtsstraßen-Ordnung auszuweichen, wenn sie dadurch vorfahrtberechtigte Fahrzeuge nicht gefährden oder behindern.;Sie haben untereinander nach den Regeln der Schifffahrtsordnung Emsmündung auszuweichen, wenn sie dadurch vorfahrtberechtigte Fahrzeuge nicht gefährden oder behindern.;Sie haben untereinander nach den Regeln der KVR auszuweichen, wenn sie dadurch vorfahrtberechtigte Fahrzeuge nicht gefährden oder behindern.;Sie haben untereinander nach den Regeln der Seeschifffahrtsstraßen-Ordnung auszuweichen, wenn sie dadurch vorfahrtberechtigte Fahrzeuge nicht gefährden oder behindern.;C;Sie haben untereinander nach den Regeln der KVR auszuweichen, wenn sie dadurch vorfahrtberechtigte Fahrzeuge nicht gefährden oder behindern.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
10;20;172;Vorschriften & Gesetze;Was ist zu unternehmen, um die Schifffahrt zu warnen, wenn das eigene Fahrzeug gesunken ist und ein Schifffahrtshindernis darstellt?;;Man gibt ein Seenotsignal ab.;Man informiert das Bundesamt für Seeschifffahrt und Hydrographie und gibt nach Möglichkeit die Position an.;Man informiert die Deutsche Gesellschaft zur Rettung Schiffbrüchiger, damit das Hindernis gekennzeichnet werden kann.;Man informiert die Schifffahrtspolizeibehörde und gibt nach Möglichkeit die Position an.;D;Man informiert die Schifffahrtspolizeibehörde und gibt nach Möglichkeit die Position an.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
10;21;187;Schifffahrtszeichen;Welche Bedeutung haben folgende Sichtzeichen?;;Schutzbedürftige Anlage. Sog und Wellenschlag vermeiden.;Dauernde Sperrung der Seeschifffahrtsstraße. Weiterfahrt verboten.;Ende einer Gebots- oder Verbotsstrecke. Freie Weiterfahrt.;Außergewöhnliche Schifffahrtsbehinderung. Vorsichtig passieren.;B;Dauernde Sperrung der Seeschifffahrtsstraße. Weiterfahrt verboten.;"bilder/spezifische_fragen_see_Gebotszeichen-A18aa-gif.png;bilder/spezifische_fragen_see_Gebotszeichen-A18ab-gif.png";"https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Gebotszeichen-A18aa-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Gebotszeichen-A18ab-gif.png";"Spezifische Fragen See;2017-06-01;Schilder und Sichtzeichen";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
10;22;190;Schifffahrtszeichen;Welche Bedeutung hat folgende Tonne?;;Kennzeichnung der Backbordseite eines Fahrwassers.;Kennzeichnung einer Reede.;Kennzeichnung von Einzelgefahrenstellen.;Kennzeichnung der Mitte von Schifffahrtswegen.;D;Kennzeichnung der Mitte von Schifffahrtswegen.;bilder/spezifische_fragen_see_Tonne-Frage-190-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Tonne-Frage-190-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
10;23;197;Schifffahrtszeichen;"Welche Bedeutung hat folgende Kennung: ""Oc (2) R. Whis.""?";;Blitz (2) rot, Glockentonne.;Leitfeuer rot, zwei Warnsektoren.;Blink (2) rot, Glockentonne.;Unterbrochen (2) rot, Heultonne.;D;Unterbrochen (2) rot, Heultonne.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
10;24;206;Schifffahrtszeichen;Welche Bedeutung hat das Feuer einer Leuchttonne mit folgender Kennung?;;Kennzeichnung einer allgemeinen Gefahrenstelle, Nordquadrant.;Kennzeichnung einer allgemeinen Gefahrenstelle, Ostquadrant.;Kennzeichnung einer allgemeinen Gefahrenstelle, Südquadrant.;Kennzeichnung einer allgemeinen Gefahrenstelle, Westquadrant.;C;Kennzeichnung einer allgemeinen Gefahrenstelle, Südquadrant.;bilder/spezifische_fragen_see_Feuer-Frage-206-gif.png;https://www.bootsfuehrerscheinpruefung.de/images/sbfsee/katalog/spezifische_fragen_see_Feuer-Frage-206-gif.png;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
10;25;225;Umwelt- & Naturschutz;Wie hat man sich beim Befahren von Naturschutzgebieten und Nationalparks zu verhalten?;;Befahrensregelungen beachten und sich bei der Nationalparkverwaltung anmelden.;Befahrensregelungen beachten.;Befahrensregelungen sowie Festlegungen der Ordnungsämter beachten.;Befahrensregelungen beachten sowie Wasserschutzpolizei und Wasserstraßen- und Schifffahrtsamt informieren.;B;Befahrensregelungen beachten.;;;"Spezifische Fragen See;August-2023";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
10;26;239;Navigation;Wo entnimmt man in der Seekarte die Seemeilen?;;An der in der Seekarte abgebildeten Kompassrose.;Am rechten oder linken Kartenrand in Höhe des Standortes.;Aus der in der Seekarte abgebildeten Entfernungstabelle.;Am oberen oder unteren Kartenrand in Höhe des Standortes.;B;Am rechten oder linken Kartenrand in Höhe des Standortes.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
10;27;244;Navigation;Wie erhält man eine Standlinie?;;Durch Eintragung der Peilung in die Seekarte ohne Berücksichtigung der Fehlweisung.;Durch mehrmaliges Peilen eines anderen Fahrzeugs.;Durch die Peilung eines bekannten feststehenden Objektes und Eintragung der rechtweisenden Peilung in die Seekarte.;Durch Eintragen des rechtweisenden Kurses in die Seekarte.;C;Durch die Peilung eines bekannten feststehenden Objektes und Eintragung der rechtweisenden Peilung in die Seekarte.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
10;28;276;Sicherheit;Mit welchen Hilfsmitteln kann eine im Wasser treibende Person schnell und sicher an Bord genommen werden?;;Leinenverbindung, Großbaum, Ankerkette, Talje, Badeleiter, Rettungsschlaufe.;Leinenverbindung, Badeleiter, Treibanker, Rettungsschlaufe, Bergenetz, Talje.;Leinenverbindung, Badeleiter, Rettungsboje, Bergenetz, Großbaum, Talje.;Leinenverbindung, Rettungsschlaufe, Bergenetz, Talje, Badeleiter, Großbaum.;D;Leinenverbindung, Rettungsschlaufe, Bergenetz, Talje, Badeleiter, Großbaum.;;;"Spezifische Fragen See;2017-06-01";https://www.bootsfuehrerscheinpruefung.de/sbfsee/pruefungsboegen/10
